conv_id,msg_idx,latency_ms
conv_04,7,0.034542
conv_04,8,0.021041
conv_04,9,0.039417
conv_04,10,0.027417
conv_04,11,0.006958
conv_04,12,0.013875
conv_04,13,0.409541
conv_04,14,0.042333
conv_04,15,0.033542
conv_04,16,0.028750
conv_04,17,0.028708
conv_04,18,0.015667
conv_04,19,0.037542
conv_04,20,0.038334
conv_04,21,0.033833
conv_04,22,0.036666
conv_04,23,0.037375
conv_04,24,0.054291
conv_04,25,0.033959
conv_04,26,0.046833
conv_04,27,0.047917
conv_04,28,0.041791
conv_04,29,0.056458
conv_04,30,0.051667
conv_04,31,0.051750
conv_04,32,0.049709
conv_04,33,0.256708
conv_04,34,0.068000
conv_04,35,0.067875
conv_04,36,0.133000
conv_04,37,0.120667
conv_04,38,0.116334
conv_04,39,0.129792
conv_04,40,0.116125
conv_04,41,0.257833
conv_04,42,0.114708
conv_04,43,0.135125
conv_04,44,0.124791
conv_04,45,0.156000
conv_04,46,0.148084
conv_04,47,0.139875
conv_04,48,0.255000
conv_04,49,0.151333
conv_04,50,0.130583
conv_04,51,0.134625
conv_04,52,0.141375
conv_04,53,0.157750
conv_04,54,0.157750
conv_04,55,0.310791
conv_04,56,0.192792
conv_04,57,0.173542
conv_04,58,0.163083
conv_04,59,0.180250
conv_04,60,0.133500
conv_04,61,0.160875
conv_04,62,0.167542
conv_04,63,0.275083
conv_04,64,0.164417
conv_04,65,0.149291
conv_04,66,0.181250
conv_04,67,0.172708
conv_04,68,0.146959
conv_04,69,0.182500
conv_04,70,0.161250
conv_04,71,0.280584
conv_04,72,0.189541
conv_04,73,0.184333
conv_04,74,0.193667
conv_04,75,0.194959
conv_04,76,0.175709
conv_04,77,0.198417
conv_04,78,0.291083
conv_04,79,0.205708
conv_04,80,0.212333
conv_04,81,0.218250
conv_04,82,0.202500
conv_04,83,0.203292
conv_04,84,0.213416
conv_04,85,0.299000
conv_04,86,0.221958
conv_04,87,0.216959
conv_04,88,0.219167
conv_04,89,0.196583
conv_04,90,0.191542
conv_04,91,0.193583
conv_04,92,0.282167
conv_04,93,0.211875
conv_04,94,0.185708
conv_04,95,0.204292
conv_04,96,0.202625
conv_04,97,0.205791
conv_04,98,0.209500
conv_04,99,0.281708
conv_04,100,0.207541
conv_04,101,0.244500
conv_04,102,0.267500
conv_04,103,0.232250
conv_04,104,0.233584
conv_04,105,0.352583
conv_04,106,0.245291
conv_04,107,0.230167
conv_04,108,0.232250
conv_04,109,0.227208
conv_04,110,0.229625
conv_04,111,0.222125
conv_04,112,0.243209
conv_04,113,0.221625
conv_04,114,0.227334
conv_04,115,0.237791
conv_04,116,0.251042
conv_04,117,0.251750
conv_04,118,0.329167
conv_04,119,0.249291
conv_05,0,0.047375
conv_05,1,0.023834
conv_05,2,0.007584
conv_05,3,0.014292
conv_05,4,0.023500
conv_05,5,0.025875
conv_05,6,0.027000
conv_05,7,0.010916
conv_05,8,0.030583
conv_05,9,0.029792
conv_05,10,0.011875
conv_05,11,0.004042
conv_05,12,0.017875
conv_05,13,0.011209
conv_05,14,0.030542
conv_05,15,0.017791
conv_05,16,0.017791
conv_05,17,0.029625
conv_05,18,0.028250
conv_05,19,0.015709
conv_05,20,0.019667
conv_05,21,0.014542
conv_05,22,0.006083
conv_05,23,0.026708
conv_05,24,0.026417
conv_05,25,0.018875
conv_05,26,0.032667
conv_05,27,0.026166
conv_05,28,0.302917
conv_05,29,0.040583
conv_05,30,0.037458
conv_05,31,0.040375
conv_05,32,0.046917
conv_05,33,0.038083
conv_05,34,0.046541
conv_05,35,0.046792
conv_05,36,0.095959
conv_05,37,0.081667
conv_05,38,0.322334
conv_05,39,0.121542
conv_05,40,0.120958
conv_05,41,0.110292
conv_05,42,0.099875
conv_05,43,0.113292
conv_05,44,0.118125
conv_05,45,0.224542
conv_05,46,0.101875
conv_05,47,0.097417
conv_05,48,0.113791
