conv_id,msg_idx,latency_ms,is_merge
conv_03,80,2287.8967,true
conv_03,81,2629.1348,true
conv_03,82,2753.1895,true
conv_03,83,2980.1920,true
conv_03,84,4315.1935,true
conv_03,85,2960.0638,true
conv_03,86,3582.3734,true
conv_03,87,2983.8445,true
conv_03,88,2864.7520,true
conv_03,89,2670.4335,true
conv_03,90,3009.3736,true
conv_03,91,2992.9191,true
conv_03,92,3910.9753,true
conv_03,93,3071.3550,true
conv_03,94,2797.3655,true
conv_03,95,2526.4234,true
conv_03,96,3389.1253,true
conv_03,97,3475.8703,true
conv_03,98,2764.0690,true
conv_03,99,945.5593,true
conv_03,100,2837.2525,true
conv_03,101,3466.1677,true
conv_03,102,2232.5195,true
conv_03,103,3854.0117,true
conv_03,104,2921.4465,true
conv_03,105,2853.8387,true
conv_03,106,1648.1918,true
conv_03,107,2023.2337,true
conv_03,108,2141.9502,true
conv_03,109,3744.3421,true
conv_03,110,2050.8985,true
conv_03,111,2252.3794,true
conv_03,112,2149.7265,true
conv_03,113,1908.7814,true
conv_03,114,3105.2567,true
conv_03,115,2564.3420,true
conv_03,116,2487.6357,true
conv_03,117,2315.5540,true
conv_03,118,2620.6477,true
conv_03,119,2553.3050,true
conv_04,0,0.0745,false
conv_04,1,0.0163,false
conv_04,2,0.0213,false
conv_04,3,0.0094,false
conv_04,4,0.0450,false
conv_04,5,0.0238,false
conv_04,6,0.0170,false
conv_04,7,0.0364,false
conv_04,8,0.0233,false
conv_04,9,0.0465,false
conv_04,10,0.0320,false
conv_04,11,0.0089,false
conv_04,12,0.0161,false
conv_04,13,0.0108,false
conv_04,14,0.0339,false
conv_04,15,0.0370,false
conv_04,16,0.0338,false
conv_04,17,0.0375,false
conv_04,18,0.0187,false
conv_04,19,0.0444,false
conv_04,20,0.0431,false
conv_04,21,0.0423,false
conv_04,22,0.0429,false
conv_04,23,0.4643,false
conv_04,24,0.0668,false
conv_04,25,0.0417,false
conv_04,26,0.0478,false
conv_04,27,0.0403,false
conv_04,28,0.0372,false
conv_04,29,0.0393,false
conv_04,30,0.0477,false
conv_04,31,0.0557,false
conv_04,32,0.0516,false
conv_04,33,0.0510,false
conv_04,34,0.0556,false
conv_04,35,0.0591,false
conv_04,36,0.0669,false
conv_04,37,0.0615,false
conv_04,38,0.0685,false
conv_04,39,0.3323,false
conv_04,40,1339.2653,true
conv_04,41,1311.2530,true
conv_04,42,1517.4092,true
conv_04,43,1228.6835,true
conv_04,44,1473.2870,true
conv_04,45,1717.0535,true
conv_04,46,1541.6471,true
conv_04,47,1593.8971,true
conv_04,48,1651.8443,true
conv_04,49,1930.9029,true
conv_04,50,1934.2453,true
conv_04,51,2731.8881,true
conv_04,52,1908.8956,true
conv_04,53,2097.8616,true
conv_04,54,2690.8682,true
conv_04,55,2328.1232,true
conv_04,56,2194.9340,true
conv_04,57,2102.2548,true
conv_04,58,2107.4831,true
conv_04,59,2723.8523,true
conv_04,60,2360.3370,true
conv_04,61,1741.2247,true
conv_04,62,2076.0321,true
conv_04,63,2308.5232,true
conv_04,64,2268.4721,true
conv_04,65,2433.2034,true
conv_04,66,2139.1935,true
conv_04,67,1881.9811,true
conv_04,68,2033.7311,true
conv_04,69,2465.7217,true
conv_04,70,2563.7623,true
conv_04,71,2474.3154,true
conv_04,72,2133.4870,true
conv_04,73,2240.9715,true
conv_04,74,2061.9358,true
conv_04,75,2225.2690,true
conv_04,76,2350.1697,true
conv_04,77,2093.6668,true
conv_04,78,2303.6455,true
conv_04,79,2199.0036,true
conv_04,80,2480.8441,true
conv_04,81,3547.5353,true
conv_04,82,2458.2647,true
conv_04,83,2808.0555,true
conv_04,84,4160.4715,true
conv_04,85,2653.1090,true
conv_04,86,2938.1670,true
conv_04,87,2895.3609,true
conv_04,88,4587.4421,true
conv_04,89,3144.9062,true
conv_04,90,3027.2868,true
conv_04,91,3341.6672,true
conv_04,92,2905.1558,true
conv_04,93,3150.8048,true
conv_04,94,4118.6439,true
conv_04,95,2868.4762,true
conv_04,96,2967.9796,true
conv_04,97,2560.8377,true
conv_04,98,2866.8530,true
conv_04,99,3177.1893,true
conv_04,100,4141.1172,true
conv_04,101,2411.2652,true
conv_04,102,3579.4773,true
conv_04,103,2510.1825,true
conv_04,104,3033.1308,true
conv_04,105,1980.6763,true
conv_04,106,3455.4042,true
conv_04,107,2545.1655,true
conv_04,108,2529.4458,true
conv_04,109,2790.9490,true
conv_04,110,1417.2140,true
conv_04,111,2944.5400,true
conv_04,112,2791.5935,true
conv_04,113,4615.0138,true
conv_04,114,3801.3468,true
conv_04,115,2737.9656,true
conv_04,116,2493.5240,true
conv_04,117,2496.7781,true
conv_04,118,3223.8976,true
conv_04,119,2464.0287,true
conv_05,0,0.0412,false
conv_05,1,0.0203,false
conv_05,2,0.0064,false
conv_05,3,0.0116,false
conv_05,4,0.0169,false
conv_05,5,0.0223,false
conv_05,6,0.0264,false
conv_05,7,0.0099,false
conv_05,8,0.0253,false
conv_05,9,0.0243,false
conv_05,10,0.0105,false
conv_05,11,0.0036,false
conv_05,12,0.0147,false
conv_05,13,0.0094,false
conv_05,14,0.3374,false
conv_05,15,0.0184,false
conv_05,16,0.0166,false
conv_05,17,0.0243,false
conv_05,18,0.0231,false
conv_05,19,0.0136,false
conv_05,20,0.0122,false
conv_05,21,0.0121,false
conv_05,22,0.0050,false
conv_05,23,0.0231,false
conv_05,24,0.0222,false
conv_05,25,0.0157,false
conv_05,26,0.0234,false
conv_05,27,0.0127,false
conv_05,28,0.0199,false
conv_05,29,0.0225,false
conv_05,30,0.0267,false
conv_05,31,0.0329,false
conv_05,32,0.0325,false
conv_05,33,0.0232,false
conv_05,34,0.0270,false
conv_05,35,0.0268,false
conv_05,36,0.0261,false
conv_05,37,0.0279,false
conv_05,38,0.2066,false
conv_05,39,0.0649,false
conv_05,40,1327.7035,true
conv_05,41,1432.5482,true
